id,target_company,acquirer,sector,subsector,geography,announcement_date,deal_value_musd,revenue_musd,ebitda_musd,ev_revenue_multiple,ev_ebitda_multiple,buyer_type,deal_type,target_description,rationale,source_quality_score,confidence_score
79,Yardley Life,Pacific Consolidated,Beauty & Wellness,Wellness Services,North America,2023-06-17,940.8,608.0,122.0,1.33,9.46,Corporate,Add-on,Yardley Life is a fictional wellness services company serving middle-market customers.,Combines complementary customer relationships and increases density in priority geographies.,0.66,0.72
80,Vector Logic,Cobalt Peak Partners,Software,DevOps,United Kingdom,2023-06-19,2739.1,518.5,95.0,8.9,17.57,Sponsor,Platform,Vector Logic is a fictional devops company serving middle-market customers.,Supports a buy-and-build strategy with operational synergies and procurement leverage.,0.64,0.81
81,Quartz Care,Lattice Global,Healthcare Services,Dental Services,Nordics,2023-07-02,101.4,44.7,11.6,1.47,11.74,Corporate,Growth recapitalization,Quartz Care is a fictional dental services company serving middle-market customers.,Supports a buy-and-build strategy with operational synergies and procurement leverage.,0.67,0.76
82,Quartz Brands,Pacific Consolidated,Consumer,Outdoor Goods,Nordics,2023-07-20,,590.8,140.2,,,Corporate,Merger,Quartz Brands is a fictional outdoor goods company serving middle-market customers.,Supports a buy-and-build strategy with operational synergies and procurement leverage.,0.96,0.81
83,Yardley Manufacturing,Arbor Ridge Capital,Industrials,Specialty Manufacturing,APAC,2023-07-31,1446.0,559.8,84.0,3.8,9.48,Sponsor,Add-on,Yardley Manufacturing is a fictional specialty manufacturing company serving middle-market customers.,Broadens product capabilities and strengthens the acquirer's vertical specialization.,0.8,0.8
84,Cedar Capital Services,Northstar Health Group,Financial Services,Compliance Tech,United Kingdom,2023-08-10,1593.7,376.9,89.5,6.8,10.62,Strategic,Platform,Cedar Capital Services is a fictional compliance tech company serving middle-market customers.,Provides scale benefits and creates a stronger platform for strategic or sponsor exit optionality.,0.75,0.65
85,Noble Services,Redwood Harbor Capital,Business Services,Consulting,APAC,2023-08-06,1342.5,553.6,127.8,1.38,14.64,Sponsor,Growth recapitalization,Noble Services is a fictional consulting company serving middle-market customers.,Provides scale benefits and creates a stronger platform for strategic or sponsor exit optionality.,0.63,0.66
86,Willow Grid,Arbor Ridge Capital,Energy Transition,Grid Software,Latin America,2023-08-28,481.9,154.1,27.2,4.17,16.52,Sponsor,Platform,Willow Grid is a fictional grid software company serving middle-market customers.,Broadens product capabilities and strengthens the acquirer's vertical specialization.,0.8,0.77
87,Noble Interactive,Meridian Financial Group,Media & Entertainment,Gaming Services,Latin America,2023-09-11,1547.4,394.8,98.5,3.02,18.71,Strategic,Take-private,Noble Interactive is a fictional gaming services company serving middle-market customers.,Supports a buy-and-build strategy with operational synergies and procurement leverage.,0.86,0.87
88,Helio Learning,Mariner Growth Partners,Education,Professional Learning,North America,2023-09-05,2669.1,613.1,158.4,4.45,16.47,Sponsor,Carve-out,Helio Learning is a fictional professional learning company serving middle-market customers.,Provides scale benefits and creates a stronger platform for strategic or sponsor exit optionality.,0.91,0.82
89,Terra Life,Briar Hall Holdings,Beauty & Wellness,Personal Care Brands,Western Europe,2023-09-20,1089.0,355.3,,3.3,,Family Office,Add-on,Terra Life is a fictional personal care brands company serving middle-market customers.,Broadens product capabilities and strengthens the acquirer's vertical specialization.,0.94,0.9
90,Kite Stack,HarborPoint Brands,Software,DevOps,APAC,2023-10-05,3841.8,441.4,156.1,11.66,19.99,Strategic,Add-on,Kite Stack is a fictional devops company serving middle-market customers.,Combines complementary customer relationships and increases density in priority geographies.,0.67,0.74
91,Terra Care,HarborPoint Brands,Healthcare Services,Dental Services,North America,2023-10-21,2350.9,802.0,116.0,3.76,14.69,Strategic,Carve-out,Terra Care is a fictional dental services company serving middle-market customers.,Combines complementary customer relationships and increases density in priority geographies.,0.85,0.89
92,Signal Brands,Arbor Ridge Capital,Consumer,Specialty Retail,North America,2023-10-29,1869.1,758.8,133.8,3.46,10.98,Sponsor,Add-on,Signal Brands is a fictional specialty retail company serving middle-market customers.,Provides scale benefits and creates a stronger platform for strategic or sponsor exit optionality.,0.69,0.84
93,Lumen Components,Longview Legacy Partners,Industrials,Packaging,North America,2023-11-17,1936.7,840.2,133.0,2.32,14.36,Family Office,Platform,Lumen Components is a fictional packaging company serving middle-market customers.,"Adds proprietary data, workflow depth, or specialized talent that improves competitive positioning.",0.93,0.78
94,Orion Risk,Lattice Global,Financial Services,Wealth Management,Latin America,2023-11-28,1193.0,285.1,,4.35,,Corporate,Platform,Orion Risk is a fictional wealth management company serving middle-market customers.,Supports a buy-and-build strategy with operational synergies and procurement leverage.,0.64,0.73
95,Ridge Operations,Sage Rock Holdings,Business Services,BPO,North America,2023-11-25,1558.4,469.2,111.9,2.57,15.2,Family Office,Add-on,Ridge Operations is a fictional bpo company serving middle-market customers.,Creates a regional consolidation platform in a fragmented market with clear add-on potential.,0.76,0.79
96,Terra Renewables,EverBloom Consumer Health,Energy Transition,Efficiency Services,North America,2023-12-18,1222.5,530.3,64.6,2.43,14.49,Strategic,Platform,Terra Renewables is a fictional efficiency services company serving middle-market customers.,Adds recurring revenue and expands cross-sell opportunities across an installed customer base.,0.67,0.75
97,Ridge Events,Stonebridge Equity,Media & Entertainment,Live Events,Western Europe,2023-12-27,2662.8,762.2,85.6,6.14,13.34,Sponsor,Growth recapitalization,Ridge Events is a fictional live events company serving middle-market customers.,Combines complementary customer relationships and increases density in priority geographies.,0.79,0.65
98,Umbra Training,UnionBridge Holdings,Education,K-12 Services,North America,2024-01-06,1285.7,280.9,71.3,5.64,13.85,Corporate,Platform,Umbra Training is a fictional k-12 services company serving middle-market customers.,Provides scale benefits and creates a stronger platform for strategic or sponsor exit optionality.,0.68,0.85
99,Juniper Life,UnionBridge Holdings,Beauty & Wellness,Personal Care Brands,Western Europe,2024-01-03,1944.1,703.4,115.1,3.77,14.3,Corporate,Carve-out,Juniper Life is a fictional personal care brands company serving middle-market customers.,Provides scale benefits and creates a stronger platform for strategic or sponsor exit optionality.,0.93,0.88
